building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,Ss,S1,site class
0,1,20,1.0,1,80,67.5,2.9,1.0,C
1,1,20,1.0,1,80,67.5,2.9,1.0,D
2,1,20,1.0,1,80,67.5,2.2,0.8,C
3,1,20,1.0,1,80,67.5,2.2,0.8,D
4,1,20,1.0,1,80,67.5,1.5,0.6,C
5,1,20,1.0,1,80,67.5,1.5,0.6,D
6,1,20,1.0,3,80,67.5,2.9,1.0,C
7,1,20,1.0,3,80,67.5,2.9,1.0,D
8,1,20,1.0,3,80,67.5,2.2,0.8,C
9,1,20,1.0,3,80,67.5,2.2,0.8,D
10,1,20,1.0,3,80,67.5,1.5,0.6,C
11,1,20,1.0,3,80,67.5,1.5,0.6,D
12,1,20,1.0,5,80,67.5,2.9,1.0,C
13,1,20,1.0,5,80,67.5,2.9,1.0,D
14,1,20,1.0,5,80,67.5,2.2,0.8,C
15,1,20,1.0,5,80,67.5,2.2,0.8,D
16,1,20,1.0,5,80,67.5,1.5,0.6,C
17,1,20,1.0,5,80,67.5,1.5,0.6,D
18,1,30,1.0,1,80,67.5,2.9,1.0,C
19,1,30,1.0,1,80,67.5,2.9,1.0,D
20,1,30,1.0,1,80,67.5,2.2,0.8,C
21,1,30,1.0,1,80,67.5,2.2,0.8,D
22,1,30,1.0,1,80,67.5,1.5,0.6,C
23,1,30,1.0,1,80,67.5,1.5,0.6,D
24,1,30,1.0,3,80,67.5,2.9,1.0,C
25,1,30,1.0,3,80,67.5,2.9,1.0,D
26,1,30,1.0,3,80,67.5,2.2,0.8,C
27,1,30,1.0,3,80,67.5,2.2,0.8,D
28,1,30,1.0,3,80,67.5,1.5,0.6,C
29,1,30,1.0,3,80,67.5,1.5,0.6,D
30,1,30,1.0,5,80,67.5,2.9,1.0,C
31,1,30,1.0,5,80,67.5,2.9,1.0,D
32,1,30,1.0,5,80,67.5,2.2,0.8,C
33,1,30,1.0,5,80,67.5,2.2,0.8,D
34,1,30,1.0,5,80,67.5,1.5,0.6,C
35,1,30,1.0,5,80,67.5,1.5,0.6,D
36,1,40,1.0,1,80,67.5,2.9,1.0,C
37,1,40,1.0,1,80,67.5,2.9,1.0,D
38,1,40,1.0,1,80,67.5,2.2,0.8,C
39,1,40,1.0,1,80,67.5,2.2,0.8,D
40,1,40,1.0,1,80,67.5,1.5,0.6,C
41,1,40,1.0,1,80,67.5,1.5,0.6,D
42,1,40,1.0,3,80,67.5,2.9,1.0,C
43,1,40,1.0,3,80,67.5,2.9,1.0,D
44,1,40,1.0,3,80,67.5,2.2,0.8,C
45,1,40,1.0,3,80,67.5,2.2,0.8,D
46,1,40,1.0,3,80,67.5,1.5,0.6,C
47,1,40,1.0,3,80,67.5,1.5,0.6,D
48,1,40,1.0,5,80,67.5,2.9,1.0,C
49,1,40,1.0,5,80,67.5,2.9,1.0,D
50,1,40,1.0,5,80,67.5,2.2,0.8,C
51,1,40,1.0,5,80,67.5,2.2,0.8,D
52,1,40,1.0,5,80,67.5,1.5,0.6,C
53,1,40,1.0,5,80,67.5,1.5,0.6,D
54,3,20,1.0,3,80,67.5,2.9,1.0,C
55,3,20,1.0,3,80,67.5,2.9,1.0,D
56,3,20,1.0,3,80,67.5,2.2,0.8,C
57,3,20,1.0,3,80,67.5,2.2,0.8,D
58,3,20,1.0,3,80,67.5,1.5,0.6,C
59,3,20,1.0,3,80,67.5,1.5,0.6,D
60,3,20,1.0,5,80,67.5,2.9,1.0,C
61,3,20,1.0,5,80,67.5,2.9,1.0,D
62,3,20,1.0,5,80,67.5,2.2,0.8,C
63,3,20,1.0,5,80,67.5,2.2,0.8,D
64,3,20,1.0,5,80,67.5,1.5,0.6,C
65,3,20,1.0,5,80,67.5,1.5,0.6,D
66,3,30,1.0,3,80,67.5,2.9,1.0,C
67,3,30,1.0,3,80,67.5,2.9,1.0,D
68,3,30,1.0,3,80,67.5,2.2,0.8,C
69,3,30,1.0,3,80,67.5,2.2,0.8,D
70,3,30,1.0,3,80,67.5,1.5,0.6,C
71,3,30,1.0,3,80,67.5,1.5,0.6,D
72,3,30,1.0,5,80,67.5,2.9,1.0,C
73,3,30,1.0,5,80,67.5,2.9,1.0,D
74,3,30,1.0,5,80,67.5,2.2,0.8,C
75,3,30,1.0,5,80,67.5,2.2,0.8,D
